Carspaces,Bathrooms,Bedrooms,Address,Price,Type,Date_time,Date,Area,Name
1,2,2,"416/4 Acacia Place, Abbotsford","$500,000-$550,000",Apartment,,,,
,,,,,,,,,
1,1,2,"3/45 Carroll Crescent, Glen Iris","Auction | $480,000-$525,000",Apartment,Inspection Wed 17 Sep 4:00 pm,Inspection Wed 17 Sep,,
1,1,2,"8/35 Waltham Street, Richmond","$650,000 - $700,000",Apartment,Inspection Thu 18 Sep 12:00 pm,Inspection Thu 18 Sep,,
2,3,4,"49 Boisdale Street, Surrey Hills","$3,095,000",House,,,,
1,2,2,"215/8 Montrose Street, Hawthorn East","$595,000 - $650,000",Apartment,Inspection Thu 18 Sep 5:30 pm,Inspection Thu 18 Sep,,
1,1,2,"3 Hay Street, Box Hill South","$499,000 -$530,000",Apartment,,,,
,,,,,,,,,
2,,3,"49 Fraser Street, Richmond",Private Sale $1.9m,House,,,,
1,1,1,"109/26 Foundation Boulevard, Burwood East","$450,000-$470,000",Apartment,,,,
1,1,1,"801/9-11 Ellingworth Parade, Box Hill",,Apartment,,,,
1,1,1,"109/2A Montrose Place, Hawthorn East","$395,000 - $434,000",Apartment,,,,
1,1,2,"8/183 Auburn Road, Hawthorn","$599,000",Apartment,Inspection Thu 18 Sep 3:30 pm,Inspection Thu 18 Sep,,
,,,,,,,,,
1,1,2,"1/15 Christmas Street, Northcote","$520,000 - $550,000",Apartment,Inspection Thu 18 Sep 5:00 pm,Inspection Thu 18 Sep,,Agent: Frank Romeo
,,,,,,,,,
1,1,4,"37 Jenkins Street, Northcote","$1,750,000 - $1,900,000",House,Inspection Sat 20 Sep 10:00 am,Inspection Sat 20 Sep,557m²,Agent: Tom Moss
2,,2,"2/81 Abinger Street, Richmond","$1,190,000 to $1,225,000",Townhouse,Inspection Wed 17 Sep 12:30 pm,Inspection Wed 17 Sep,,Agent: Adam Caruso
1,1,2,"G04 12 Trenerry Crescent, Abbotsford","$480,000",Apartment,,,,
1,1,1,"4/150 Grange Road, Alphington","$335,000 - $365,000",Apartment,Inspection Sat 20 Sep 10:30 am,Inspection Sat 20 Sep,,
,,,,,,,,,
3,1,3,"1333 Toorak Road, Camberwell","$1,875,000",House,,,667m²,
1,1,1,"7/300 Elgar Road, Box Hill South","RETIREMENT LIVING $350,000",Apartment,,,,
1,1,1,"314/2 Golding Street, Hawthorn",$435000,Unit,,,,
1,2,2,"1213/828  Whitehorse, Box Hill",,Apartment,,,,
1,1,2,"23/1072 Whitehorse Road, Box Hill",,Apartment,,,,
,,,,,,,,,
1,1,1,"314/32 Lilydale Grove, Hawthorn East","$330,000 - $360,000",Apartment,,,,
1,1,2,"12-14 Trenerry Crescent, Abbotsford",,Apartment,,,90.56m²,
1,1,1,"801D/615 Victoria Street, Abbotsford","$379,000",Apartment,,,,
,2,2,"408/34-36 Prospect St, Box Hill","$590,000",Apartment,,,83m²,
1,2,3,"403/999 Whitehorse Road, Box Hill","$800,000",Apartment,,,,
,,,,,,,,,
1,1,1,"202A/168 Victoria Road, Northcote","$415,000",Apartment,,,,
9,9,13,"Whole Block of 9 Flats, 73 Mayston Street, Hawthorn East",,Block of units,,,996m²,
2,1,3,"181 St Georges Road, Northcote","$1,700,000 - $1,900,000",House,,,441m²,
,1,1,"216/26 Merri Parade, Northcote",,Apartment,,,,
,1,1,"102/66 Station St, Fairfield","$390,000",Apartment,,,53m²,
,,,,,,,,,
2,2,3,"408/33 Camberwell Road, Hawthorn East",,Apartment,,,,
2,2,4,"8/101 Carrington Road, Box Hill",$1.33M-$1.45M Inspection on Request,Townhouse,,,,
,2,2,"408/36 Prospect St, Box Hill","$597,000",Apartment,,,83m²,
1,1,1,"204/1615 Malvern Road, Glen Iris","$450,000 - $495,000",Apartment,,,,
1,1,2,"G05/19-21  Poplar Street, Box Hill",,Apartment,,,103m²,
,,,,,,,,,
2,5,5,"1 Crom Street, Balwyn",,House,,,906m²,Sophie Su
,,,,,,,,,
1,2,2,"17  Poplar Street, Box Hill","$470,000 - $500,000",Apartment,,,75m²,Canwealth Prestige
1,1,2,"1/165 Power Street, Hawthorn","$520,000 - $570,000",Apartment,Inspection Thu 18 Sep 11:00 am,Inspection Thu 18 Sep,,George Mitry
,4,4,"426-434 High Street Road, Mount Waverley",,House,,,"3,347m²",Qiao Tang
1,2,4,"2/30 Willis Street, Balwyn North","$1,450,000 - $1,550,000",Unit,,,,George Mitry
,,,,,,,,,
2,3,3,"60 Lambert Street, Richmond","$1,640,000 - $1,760,000",Townhouse,Inspection Wed 17 Sep 11:00 am,Inspection Wed 17 Sep,,Tim Brown
2,2,3,"104/594 Riversdale Road, Camberwell","$980,000 - $1,050,000",Apartment,Inspection Wed 17 Sep 6:00 pm,Inspection Wed 17 Sep,,Laura Harvey
,2,2,"3002/545 Station Street, Box Hill","$525,000 - $575,000",Apartment,,,,Lily Zhang
2,2,3,"1/39 Broadway, Bonbeach","$850,000 - $935,000",House,,,,Chris Zhang
2,1,2,"10/464-465 Station Street, Bonbeach","$550,000 - $605,000",Townhouse,,,260m²,Brad Ryan
,,,,,,,,,
2,4,7,"53 Myola Street, Patterson Lakes","$2,200,000 - $2,400,000",House,,,703m²,Michael Marziale
1,1,3,"12/59-73 Gladesville Boulevard, Patterson Lakes","$495,000.00 - $525,000.00",Retirement living,,,,Jane Webb
1,1,2,"208/567 Glenferrie Road, Hawthorn","$570,000 - $627,000",Apartment,Inspection Thu 18 Sep 11:00 am,Inspection Thu 18 Sep,,Jerry Lin
